source,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
vins,1776726674,766398078,-3.49486e-05,0.000187797,-0.000168665,0.000943284,0.00131085,-0.000104957,0.999999
vins,1776726674,800393078,3.27472e-06,0.000176159,-0.000176384,0.000924381,0.00131577,-9.35655e-05,0.999999
vins,1776726674,832862078,3.62674e-05,5.52373e-05,-0.000184611,0.000924614,0.00131919,-7.45638e-05,0.999999
vins,1776726674,849541078,-6.46529e-05,2.69768e-05,-0.000159659,0.000921805,0.00132711,-6.9008e-05,0.999999
vins,1776726674,866146078,1.47343e-07,5.64661e-05,-0.000154416,0.000929514,0.00131746,-6.1067e-05,0.999999
vins,1776726674,882925078,6.41828e-05,-1.15136e-06,-0.000182025,0.000929146,0.00131251,-6.59044e-05,0.999999
vins,1776726674,899511078,3.96159e-05,6.26957e-05,-0.000189719,0.00094871,0.00131184,-6.84606e-05,0.999999
vins,1776726674,916121078,4.3907e-05,9.63924e-05,-0.000177457,0.000942856,0.00131296,-8.66738e-05,0.999999
vins,1776726674,932879078,0.000115857,4.01486e-05,-0.000170692,0.000958141,0.00130896,-8.17017e-05,0.999999
vins,1776726674,949528078,0.000136574,8.65191e-05,-0.000130694,0.000967441,0.00131027,-8.53769e-05,0.999999
vins,1776726674,966141078,0.000166668,7.29098e-05,-0.000165173,0.000955228,0.00131176,-8.90785e-05,0.999999
vins,1776726674,982877078,5.45583e-05,0.000141257,-0.000174948,0.000940205,0.00131519,-9.19676e-05,0.999999
vins,1776726674,999501078,8.52817e-05,0.000132939,-0.000191225,0.000937747,0.00131841,-8.34642e-05,0.999999
vins,1776726675,16219078,3.77292e-05,8.28919e-05,-0.000184655,0.00093575,0.00132726,-6.4711e-05,0.999999
vins,1776726675,32886078,-0.000122351,0.000135215,-0.00015546,0.000916488,0.00132946,-6.08225e-05,0.999999
vins,1776726675,49513078,-2.01683e-05,6.99252e-05,-0.000176246,0.000910329,0.00132652,-5.68038e-05,0.999999
vins,1776726675,66145078,-6.33384e-06,9.64409e-05,-0.000203619,0.000907777,0.00132026,-5.65664e-05,0.999999
vins,1776726675,82870078,6.04306e-05,7.43502e-05,-0.000155241,0.000917588,0.00132569,-5.47129e-05,0.999999
vins,1776726675,99497078,6.43522e-05,5.19002e-05,-0.00012004,0.000942298,0.00131344,-6.08671e-05,0.999999
vins,1776726675,116254078,0.000125692,2.42557e-05,-0.000134128,0.000952531,0.00131392,-7.11223e-05,0.999999
vins,1776726675,132759078,3.23481e-05,9.75351e-05,-0.000158624,0.000964238,0.00130874,-8.33608e-05,0.999999
vins,1776726675,149514078,4.91348e-05,0.000103109,-0.000179418,0.000964103,0.00130277,-9.86399e-05,0.999999
vins,1776726675,166464078,7.99216e-05,7.33135e-05,-0.000207046,0.000959316,0.00130738,-0.000101583,0.999999
vins,1776726675,182692078,-0.000141236,0.000157539,-0.000110181,0.00094824,0.00132897,-0.000112864,0.999999
vins,1776726675,199529078,-7.71422e-05,0.000126653,-0.000103497,0.000939342,0.0013348,-9.9797e-05,0.999999
vins,1776726675,216575078,-7.34698e-05,9.16311e-05,-1.93366e-05,0.000950525,0.00134336,-9.2558e-05,0.999999
vins,1776726675,232737078,-0.000104466,0.000157575,-4.34152e-05,0.000943098,0.00134369,-7.97378e-05,0.999999
vins,1776726675,249536078,-2.99692e-05,0.000115852,-9.82671e-05,0.000931105,0.00133227,-6.24041e-05,0.999999
vins,1776726675,266285078,-6.60831e-05,0.000156355,-9.40357e-05,0.000937596,0.00133018,-5.56053e-05,0.999999
vins,1776726675,282750078,1.0467e-05,0.000132699,-0.000104376,0.00094054,0.00132424,-5.11301e-05,0.999999
vins,1776726675,299523078,8.77786e-05,5.87126e-05,-0.000148892,0.000955561,0.00131441,-5.40384e-05,0.999999
vins,1776726675,316325078,1.19226e-05,0.000147685,-0.000150016,0.000957717,0.00131912,-6.0446e-05,0.999999
vins,1776726675,332774078,0.000100995,5.71595e-05,-0.000174658,0.000961849,0.00131788,-6.88497e-05,0.999999
vins,1776726675,349510078,0.000165234,6.2728e-06,-0.00018838,0.00096186,0.00130654,-7.86712e-05,0.999999
